Grid_Size,Processes,CG_Iterations,Newton_Iterations,Runtime,Speedup,Efficiency
64,1,1333,301,0.0478752###,.0477209,.0477
64,2,1334,301,0.0269992###,.0477209,.0238
64,4,1335,301,0.0202762###,.0477209,.0119
64,8,1334,301,0.0123543###,.0477209,.0059
64,16,1334,301,0.0133408###,.0477209,.0029
128,1,2232,300,0.328586###,.328045,.3280
128,2,2233,301,0.169166###,.328045,.1640
128,4,2225,300,0.0954264###,.328045,.0820
128,8,2227,300,0.0506747###,.328045,.0410
128,16,2225,300,0.0355801###,.328045,.0205
256,1,4100,300,2.34964###,2.39139,2.3913
256,2,4106,300,1.19127###,2.39139,1.1956
256,4,4107,300,0.613543###,2.39139,.5978
256,8,4113,300,0.323426###,2.39139,.2989
256,16,4109,300,0.198649###,2.39139,.1494
512,1,7813,300,17.1069###,17.5037,17.5037
512,2,7832,301,11.0291###,17.5037,8.7518
512,4,7806,300,4.619###,17.5037,4.3759
512,8,7808,300,2.3499###,17.5037,2.1879
512,16,7817,301,1.24081###,17.5037,1.0939
1024,1,16064,338,198.755###,198.483,198.4830
1024,2,16015,337,107.902###,198.483,99.2415
1024,4,16006,335,66.963###,198.483,49.6207
1024,8,16209,343,61.5984###,198.483,24.8103
1024,16,16065,338,26.7626###,198.483,12.4051
