size,threads,time,iters,newton_iter
64,1,0.0650868,1007,301
64,2,0.0638182,1007,301
64,4,0.0622093,1007,301
64,8,0.0761173,1007,301
64,16,0.112396,1007,301
128,1,0.348564,1511,300
128,2,0.209552,1512,300
128,4,0.141817,1517,300
128,8,0.138397,1514,300
128,16,0.190283,1513,300
256,1,2.32047,2782,300
256,2,1.23342,2781,300
256,4,0.668448,2783,300
256,8,0.449019,2784,300
256,16,0.432504,2788,300
512,1,16.9738,5363,300
512,2,8.5602,5364,300
512,4,4.43622,5364,300
512,8,2.43162,5362,300
512,16,1.57536,5358,300
1024,1,163.546,10477,302
1024,2,77.2482,10487,303
1024,4,41.2015,10464,301
1024,8,26.0205,10535,305
1024,16,23.414,10481,302
